id,set,theme,title,image_description,size_pinned,fits_spec,cutting,solutions,a4_yield,cost,selling_level,selling,notes
P26,House Number & Street Name,Classic/ornate border,Number in a circle badge + scroll flourish + underlined street name below,"Grey/dark bin, white cut-vinyl '73' inside a circle, a small scroll flourish beneath it, 'WALKER WAY' underlined below, shown on both black and green bins.",Not stated,No,Doable now,"WC, CV",N/A as pinned. 4 at our spec if printed as ink inside a rectangle card,"As pinned: new vinyl line. Adapted: ~£0.14–0.47/sticker, same as your current set",High,"High — a clean, premium-reading 'badge' composition, distinct from anything currently in your 10","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was circle + flourish as cut shapes — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Doable now if adapted: print the circled-number + flourish + underlined-street combination as ink inside your standard rectangle card — the circle is decorative artwork here, not an actual cut shape, so no Cricut needed. A nice distinct 'badge-style' layout worth adding."
P27,House Number & Street Name,House + floral,"EDSG 'Design 3' — number nested in a bold house-outline icon, on a white card (Amazon's Choice, 100+ bought/month)","Green bin, Amazon product photo: white rectangular card, bold house-outline icon (thick black lines, no fill) containing '81', with 'The Avenue' printed below.",Not stated,Yes,Doable now,WC,"4 per A4, matching your spec directly","~£0.14–0.47/sticker, same as your current set",Very High,"Very High — same 1,337-review EDSG product family as P21 and P25, Amazon's Choice, 100+ bought in the past month","This ties together P10, P19, and P20 — the house-icon-with-nested-number concept has now appeared 4 times, and this is the version with the strongest sales backing (same trusted EDSG line as your two best-validated designs). Genuinely doable now: it's printed on a white rectangle card exactly like your production method, not cut direct-on-bin — no Cricut needed, just design the house outline with the number nested inside as printed ink. I'd treat this as one of your top build priorities from the whole board."
P28,House Number & Street Name,Classic/ornate border,Circular wreath made of alternating arrow/fletching shapes (TheVinylStudioGB),"Green bin, Etsy product photo ('TheVinylStudioGB'): black cut-vinyl circular wreath of alternating arrow/fletching shapes surrounding '36 / Central Avenue' in a cursive-serif font.","Not stated — 'Various Colours, Various Sizes' offered",No,Doable now,"WC, CV",N/A as pinned,As pinned: new vinyl line,Medium-High,"Medium-High — a genuinely different decorative motif (rustic/boho arrow wreath) versus the floral wreaths already logged (P06, P15), though from a smaller shop (4.5★, positioned as 'local seller') than EDSG-tier validation","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was fine fletching detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. A distinct aesthetic direction worth knowing about even if you don't build it soon. As pinned needs Cricut for the fine fletching detail. Could be simplified into a printed circular graphic (ink only) inside your standard rectangle card if you want the look without the equipment requirement — same treatment as P17's circle adaptation."
P29,House Number & Street Name,Out of scope — new material,Reflective vinyl house-icon sticker ('Reflective Stickers'),"Marketing image: dark grey/blue bin with a white house-outline icon and '29 / Your Street' in reflective material, captioned 'Reflective Stickers', disclaimer '*ONLY STICKERS, NO TRASH CAN*'.",Not stated,No,Needs Cricut,CRICUT,N/A — reflective sheet isn't used the same way as your printable A4 stock,"New material line entirely, not in your current cost sheet or Equipment Guide — reflective adhesive vinyl would need sourcing and pricing from scratch",Medium-High,"Medium-High — reflective finish is a genuine practical differentiator, not just decorative: it directly matches wheeliebinnumber.co.uk's reflective/night-glow positioning already flagged in your very first Competitor Research file as a durability/differentiation benchmark","This is a new MATERIAL category, not just a new design — worth treating separately from every other Cricut-needed idea on this board, since it's not solvable by switching to printed ink like most of them. Genuine future product: would need reflective adhesive vinyl sourced and costed, and is most likely a cut (not printed) material, so it depends on the Cricut regardless. Practical safety angle (early-morning bin collection visibility) makes it worth revisiting once Tier 2/3 equipment is on the table."
P30a,Numbers,Classic/ornate border,"'56' inside a small floral leaf wreath, number only, no street name","Black bin, white cut-vinyl small floral leaf wreath circle around '56', no street name.",Not stated,No,Doable now,"WC, CV",N/A as pinned,As pinned: new vinyl line,High,"High — same floral wreath validation as P06/P15, now confirmed as a genuine number-only product, not just a number+street variant","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was fine wreath detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Since there's no street name, this doesn't need your full 140mm-tall card — worth considering a dedicated smaller/more compact 'number only' size rather than just leaving the street_name field blank on your existing spec. Doable now if adapted: print the wreath+number as ink on a smaller rectangle card, guillotine-trimmed. Ties directly to P18's number-only validation (369 reviews, 50+ bought/month) from the other set."
P30b,Numbers,Classic/ornate border,"Same wreath design, '64', shown on black and orange bins","Black and orange/brown bins, same floral wreath circle design around '64'.",Not stated,No,Doable now,"WC, CV",N/A as pinned,Same as P30a,High,High — see P30a,"UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was fine wreath detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Duplicate design to P30a — grouped under one ID family. Two sightings of this exact wreath-number-only product reinforces it's a deliberate product, not a one-off."
P31,Numbers,Nature/insect,"Bumble bee illustration with number on the body, 3 colour variants","Three bins (green, yellow, blue), each with a bumble bee illustration and '301' on the bee's body, in a colour complementing/contrasting its bin.",Not stated,No,Doable now,"WC, CV",N/A as pinned,As pinned: new vinyl line,High,"High — a genuinely new icon theme not seen anywhere in your House Number & Street Name set, playful and nature-themed","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was fine wing/body detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. As pinned, needs Cricut for the fine wing/body detail — similar complexity to the raccoon (P14) and cat (P22) illustrations. A simplified, flatter bee silhouette could be printed today using the same 'icon + number' structure as your existing designs, just without a street name field."
P32,Numbers,Kids/dinosaur,"Cartoon dinosaur illustrations (triceratops, T-rex, stegosaurus) with number integrated, sold as a themed set","Three bins (blue, green, orange), banner 'Dinosaur Bin Stickers', each with a white cartoon dinosaur outline (triceratops, T-rex, stegosaurus) with '123' worked into the design.",Not stated,No,Doable now,"WC, CV",N/A as pinned,As pinned: new vinyl line,High,"High — explicitly kid/family-targeted, a different customer segment from anything else catalogued so far. Offering 3 species mirrors the 'variety within a theme' pattern already validated by the peeking-animal designs (P03, P14)","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was cartoon outline detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Worth flagging as a genuinely different market segment (families with young kids) rather than a style variant. The cartoon/outline art style looks simpler than the bee's fine detail (P31) — if you want an easier first illustrated-character design to prioritise, this is likely the more forgiving one to simplify for printing or hand-cutting."
P33,Numbers,Kids/character,"Cute cartoon bear with number on belly, 3 poses across 3 bin colours","Three bins (blue, green, orange), white cartoon bear character in 3 poses (sleepy, cheerful, waving) with '123' on the belly.",'3 Sizes' offered (exact dimensions not stated),No,Doable now,"WC, CV",N/A as pinned,As pinned: new vinyl line,High,"High — same pattern as P32 (dinosaur): kid/family segment, character variety within one theme","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was cartoon outline detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Same market segment and structure as P32 — reinforces that a kids' character line (dinosaurs, bears, and similar) is a genuine, repeatable product family, not a one-off. The flat, simple cartoon style here has noticeably less fine detail than the bee (P31) or illustrated cats (P13, P22, P35) — likely your most approachable illustrated-character design to attempt first, whether printed or eventually hand/machine cut."
P34,Numbers,Out of scope — not a sticker,Wall-mounted house number plaque with watercolour wildflower illustration,"Hand holding a white rigid rectangular plaque, rounded top corners, two mounting holes, '143' in bold serif at the top and a watercolour-style illustration of orange/yellow wildflowers across the bottom, photographed against grass.",Not stated,No,Needs Cricut,NA,N/A — not a printed/cut sticker product,"N/A — would be a sourced/manufactured hardware item, same category issue as P07's solar sign",N/A,"N/A for your current bin sticker business — different product category (rigid signage, not stickers)","Not a bin sticker — a wall-mounted plaque with mounting holes, same out-of-scope category as P07. The transferable idea worth keeping: this soft, painterly watercolour wildflower style is a genuinely different (and appealing) floral treatment from the flat vector wreaths seen elsewhere on this board — reinforces P05's earlier finding that realistic/illustrated florals tend to outperform flat vector ones. Worth referencing as a style direction for a future floral bin sticker design, even though this specific product isn't one."
P35,Numbers,Pet,Comedic illustrated fat cat hugging a circular number badge,"Green bin, full-colour illustrated wide-eyed comedic fat cat (black and white, pink nose) hugging a white circular badge containing '236' between its paws.",Not stated,No,Doable now,"WC, PTC, CRICUT","N/A as pinned — but a single small shape like this fits within the Explore 5's registration-mark limit, same consideration as P19","As pinned: new material/process line, Print-Then-Cut takes meaningfully longer per unit than your guillotine workflow",High,"High — the third distinct cat treatment now catalogued (after P03's silhouette and P13's portrait), reinforcing that humour/character illustration is a strong sub-theme within pets specifically","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was full-colour illustration + contour badge shape — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Full-colour Print-Then-Cut, same equipment note as P19 and P13 — genuinely viable as a single small shaped sticker even though it's not viable for your main 4-up sheet. A distinct compositional idea from your existing designs: character physically HOLDING the number badge, rather than sitting beside or above the text."
P36,Numbers,Nature/animal,"Full-colour running horse scene (horse, trees, hill) with number below","Black bin, full-colour illustrated scene of a running chestnut horse in front of pine trees and a grassy hill, bold white '53' printed below.",Not stated,No,Doable now,"WC, CV",N/A as pinned. 4 at our spec if simplified onto a plain rectangle card,"As pinned: Print-Then-Cut process. Adapted: ~£0.14–0.47/sticker, same as your current set",High,"High — appeals to a genuine niche audience (horse/equestrian owners), and a full-colour scene reads as premium/eye-catching","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was full-colour scene, irregular edge — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. One of the easiest 'doable now' fixes in this set: print the horse+trees illustration on a plain rectangle card (white or one of your accent colours) instead of trying to contour-cut around the scene's irregular edge — same production method as your own 10 designs, no Cricut needed at all. As literally pinned (direct on bin, no card edge), it would require full Print-Then-Cut."
P37,Numbers,Kids/character,Cute hedgehog-style character with number on the body (video screenshot),"Video screenshot (timer visible), brown/caddy-coloured bin with a simple white cute rounded hedgehog-like silhouette containing '90' on its body.",Not stated,No,Doable now,"WC, CV",N/A as pinned,As pinned: new vinyl line,High,High — continues the 'cute character + number' family already validated by P32 (dinosaur) and P33 (bear),"UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was silhouette detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Another entry in the same cute-character-plus-number family. Simple, low-detail flat silhouette — likely one of the more approachable illustrated designs to adapt for printing or eventual hand-cutting."
P38,Numbers,Pet,"Grumpy cat face icon above a bordered number box — '2 Size Options, 22 Colours Available'","Two bins (orange/brown, black), marketing image 'Waterproof Vinyl Decal, 2 Size Options, 22 Colours Available', white grumpy cat face icon above a thin-bordered rectangle containing '75'.",2 size options offered (exact dimensions not stated),No,Doable now,"WC, CV",N/A as pinned,As pinned: new vinyl line,High,"High — the fourth distinct cat treatment now catalogued (after P03, P13, P35), and the 22-colour offering signals a seller with genuinely broad customisation infrastructure","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was fine facial detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Useful benchmark: 22 colours + 2 sizes is a notably wide customisation range — worth comparing against your own 6-colour ACCENTS palette if colour choice turns out to matter to customers. The 'icon above a numbered box' composition is easy to adapt as printed ink on your existing card format; the cat face itself needs Cricut-level precision as pinned."
P39,Numbers,Pet/wildlife,Illustrated raccoon peeking out of a mini trash can bearing the number,"Black bin, full-colour illustrated raccoon peeking out of a small illustrated trash can, '73' printed on the can itself.",Not stated,No,Doable now,"WC, CV",N/A as pinned. 4 at spec if adapted onto a plain rectangle card,As pinned: Print-Then-Cut process. Adapted: ~£0.14–0.47/sticker,High,"High — a second raccoon variant (after P14's silhouette), confirming raccoon is a genuine recurring animal choice, not a one-off, plus a fun visual pun (number on a mini trash can rather than beside it)","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was full-colour illustration — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Same fix as P36/P13: print this on a plain rectangle card instead of cutting around the illustration's outline, and it's producible with your existing guillotine workflow today. As literally pinned it would need full Print-Then-Cut for the fine illustrated detail."
P40,Numbers,Kids/character,Flat monkey/ape icon with an alphanumeric code ('3C') rather than a plain number,"Video screenshot (mobile UI visible), orange bin with a simple flat black monkey/ape face-and-shoulders icon and '3C' beside it.",Not stated,No,Doable now,"WC, CV",N/A as pinned,As pinned: new vinyl line,Medium-High,"Medium-High — another character option in the same family as P32/P33/P37, and notable for using a flat/apartment-style code (3C) instead of a plain number","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was silhouette detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Worth remembering as evidence that some customers need letter+number codes (flats, apartments) rather than pure digits — if you want to support that market, your input field just needs to accept any text, not just numbers, which it already does since house_number is a plain string in your script."
P41,Numbers,Out of scope — new material,"Reflective stickers, including a holographic/rainbow variant, shown across 3 bins","Marketing image 'Customize Reflective Stickers': three bins (yellow, brown/black, green), each with a small icon+'218' sticker in a different reflective colour (blue cat icon, holographic/rainbow icon, red icon), disclaimer '*ONLY STICKERS, NO TRASH CAN*'.",Not stated,No,Needs Cricut,CRICUT,N/A,"New material line, same issue as P29 — reflective/holographic vinyl isn't in your current cost sheet or Equipment Guide",Medium-High,"Medium-High — second independent sighting of reflective stickers as a real marketed product (after P29), reinforcing this is a genuine category, not a one-off","Two sightings now (P29, this one) of reflective vinyl as an actual product, not just an idea — worth taking seriously as a future material line, tied back to your very first Competitor Research file (wheeliebinnumber.co.uk's reflective/night-glow positioning). The holographic/rainbow effect shown here is a distinct material variant worth knowing about separately from plain reflective white."
P42,Numbers,Kids/character,Cute dachshund/sausage dog character with number on body,"Video screenshot (timer visible), green bin with a simple white dachshund/sausage-dog silhouette containing '98' on its body.",Not stated,No,Doable now,"WC, CV",N/A as pinned,As pinned: new vinyl line,High,"High — fourth entry in the cute-character-plus-number family (dinosaur, bear, hedgehog, now dog)","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was silhouette detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. This pattern (cute animal character, number on the body, simple flat single-colour style) is now thoroughly validated across 4 separate pins — worth treating as a genuine product sub-line with multiple character options, not a single design to pick from."
P43,Numbers,Nature/animal,Illustrated sitting cow (Friesian pattern) with number on its side,"Dark green bins (2-3 shown), white cut-vinyl illustrated sitting cow with a spotted Friesian pattern, '125' on its side.",Not stated,No,Doable now,"WC, CV",N/A as pinned,As pinned: new vinyl line,High,"High — pairs with P36 (horse) as a second countryside/farm-animal option, and being single-colour makes it notably more approachable to produce than the horse's full-colour scene","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was spot-pattern detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Worth considering a small farm-animal sub-collection (horse, cow, maybe sheep) alongside the cute-character family and the peeking-pet family already identified — three distinct animal-theme product lines are now visible across this board."
P44,Numbers,Classic/ornate border,"EDSG 'Design 9' — number-only in a scalloped/fluted border, printed on white card ('#1 Best Seller in Signs & Plaques')","Amazon product photo: green bin with a small white card showing '56' inside a scalloped/fluted border, '#1 Best Seller in Signs & Plaques' and '50+ bought in past month' badges, 'Colour Name: Design 9' shown below.",Not stated,Yes,Doable now,WC,"4 per A4, matching your spec directly","~£0.14–0.47/sticker, same as your current set",Very High,"Very High — '#1 Best Seller in Signs & Plaques', 50+ bought in the past month, and it's a number-only product, reinforcing P18's earlier finding that customers want a no-street-name option","This resolves P01 from your first set. It's essentially the same fluted-border concept, but here it's clearly printed on a white card rather than applied direct-to-bin, which removes the white-ink blocker that made P01 a future item. At this sales volume (#1 bestseller, 50+/month), it's near-certain EDSG prints the scalloped border as ink within a plain guillotine-cut rectangle rather than actually die-cutting the wavy edge — meaning this is genuinely producible with your existing setup today, no Cricut required."
P45,Numbers,Nature/whimsical,"Blowing dandelions with heart-shaped seeds, number, and a small hidden mouse detail","Real photo, dark grey bin against a brick house background: white cut-vinyl illustration of dandelions blowing apart into heart-shaped seeds, with '6' and a small hidden mouse detail near the base.","Not stated — the scene looks larger than a typical icon, possibly 200mm+ tall as pinned",No,Doable now,"WC, CV",4 per A4 if scaled to your 100×140mm spec,"~£0.14–0.47/sticker, same as your current set — fine line detail costs nothing extra once printed rather than cut",High,High — genuinely charming and different from anything else on either board; the hidden mouse is a delightful small touch that could become a signature detail across a design,"A great example of the corrected print-vs-cut principle: this has more fine detail than almost anything else catalogued, and it's still fully doable now, because none of that detail needs to be physically cut — it's just ink. Worth checking the scene fits comfortably at your 100×140mm size without feeling cramped; if not, this might be a candidate for a slightly larger 'premium' size tier instead of shrinking the artwork."
P46,Numbers,Minimal,"Plain bold numbers, no border, no icon ('19', '18')","Two bins (green, black), plain bold white numbers '19' and '18', no border, no icon.",Not stated,No,Doable now,"WC, CV","4 per A4 at your spec, with a border added — essentially design #2 minus the street name","~£0.14–0.47/sticker, same as your current set",High,High — reinforces P18's and P46's own number-only validation,The simplest possible entry on the whole board — literally just your existing Minimal design (#2) with the street name field left blank. No new design work needed at all.
P47,Numbers,House + floral,"House-outline + number, 'Stickers Limited' — 4.7★ (4,272 reviews), Amazon's Choice, 1K+ bought in past month","Amazon product photo: black bin with a small white house-outline sticker containing '65', plus 5 close-up variations of the same sticker shown separately; '#PBN09', '4.7★ (4,272)', '1K+ bought in past month', 'Amazon's Choice' badges.",140 × 150mm (stated),No,Doable now,WC,"4 per A4 at your spec (their stated 140×150mm is close to, though not identical to, your 100×140mm)","~£0.14–0.47/sticker, same as your current set",Very High,"Extremely High — 4,272 reviews and 1,000+ bought in the past month is the single strongest sales-volume figure across both boards, well beyond P25's 200+/month or P27's 50+/month","This is the 5th sighting of the house-outline+number concept (after P10, P19, P20, P27) and by a wide margin the strongest sales evidence for it. If you build only one new design off the back of these 48 pins, this concept — house outline with the number nested inside, printed on your standard card — is the one with the most real-world proof behind it."
P48,Numbers,Kids/character,"Cartoon owl, penguin, and panda with numbers on their bellies (StickyArtUK, £5.50, 5★)","Three bins (blue, grey/black, brown), Etsy product photo ('StickyArtUK', £5.50): black/white cartoon owl ('756'), penguin ('675'), panda ('635'), each with the number on the belly.","Not stated — real price given: £5.50, free delivery",No,Doable now,"WC, CV",4 per A4 if adapted to your rectangle card,"~£0.14–0.47/sticker, same as your current set",High,"High — the sixth-plus sighting of the cute-character-plus-number family (after dinosaur, bear, hedgehog, dog, and others), and a real price benchmark (£5.50) close to your own target range","At this point the cute-character-animal line is one of the best-evidenced product families across the whole 48-pin board — dinosaurs, bears, hedgehogs, dogs, owls, penguins, pandas, all following the same 'simple flat silhouette + number on the belly' structure. Worth treating as a real multi-character product line, not a single design choice."
P49,Street Name,House + floral,"'Sadler House' in script, floral corner accents, thin rectangular border","Dark grey bin, white cut-vinyl 'Sadler House' in cursive script inside a thin rectangular border with small floral flourishes at each corner.","Not stated — a compact, wide/landscape rectangle rather than your portrait 100×140mm shape",No,Doable now,"WC, CV","N/A as pinned at this size/shape — this is a smaller, more compact product than your number+street card, not a straightforward 4-per-A4 fit","~£0.14–0.47/sticker if adapted to a printed card, similar to your current set, though a smaller card would use less material per unit",High,"High — house names are a genuinely distinct customer segment (named period/rural properties, or houses people have personally named) not touched by your current numbered-address line at all","First of 3 pins in this set sharing the same underlying structure: icon/border accent + house name text. This one uses a floral rectangular frame. Since there's no number involved, this is a genuinely separate product — a 'house name' variant — worth its own compact size rather than squeezing it into your existing number+street card."
P50,Street Name,House + floral,"'SADLER HOUSE' with a heart outline above, underlined caps text","Dark grey bin, white cut-vinyl heart outline icon above a thin underline above 'SADLER HOUSE' in bold caps.",Not stated,No,Doable now,"WC, CV",N/A as pinned at this size/shape,"~£0.14–0.47/sticker if adapted, similar to your current set",High,"High — the heart icon gives this a sentimental/gift angle (housewarming, first home together) that pairs naturally with your existing gift-feel packaging strategy already in the Business Plan","Second pin in the 'icon + underline + house name' pattern (see P49, P51) — same layout, swappable icon. A heart-themed variant specifically suits gifting occasions, worth flagging for cross-promotion with your thank-you card line."
P51,Street Name,House + floral,"'SADLER HOUSE' with antler/branch flourish above, underlined caps text","Dark grey bin, white cut-vinyl symmetrical antler/branch icon above a thin underline above 'SADLER HOUSE' in bold caps.",Not stated,No,Doable now,"WC, CV",N/A as pinned at this size/shape,"~£0.14–0.47/sticker if adapted, similar to your current set",Medium-High,"Medium-High — a distinct rustic/cabin/lodge aesthetic, connecting back to the very first Competitor Research file, which explicitly named 'Caravan Lodge Cabin' stickers as an existing market segment you hadn't yet built for","Third pin in the same 'icon + underline + house name' structural pattern (P49, P50, P51 all share it) — one layout, three interchangeable icon themes (floral, heart, antler). Efficient to build as one flexible template with a swappable icon rather than three separate designs."
P52,Street Name,Flat/apartment,'FLAT B' inside a circle with a small floral accent at the base,"Dark bin, white cut-vinyl thin circle outline with a small flower/leaf accent at the base, 'FLAT B' text stacked inside.",Not stated,No,Doable now,"WC, CV",N/A as a true circular die-cut. 4 per A4 if printed as a circle graphic on a rectangle card,"~£0.14–0.47/sticker if adapted, same as your current set",Medium-High,"Medium-High — validates flat/apartment-style labelling as a real, separate need (not just house numbers), directly echoing P40's alphanumeric-code finding from the Numbers set","Same fix as P17/P26: print the circle+flower as ink inside your rectangle card rather than actually die-cutting a circle. Ties directly to P40 — your house_number field is already a plain text field, so 'Flat B' or similar apartment-style labels work with zero code changes, just a naming convention decision on your end."
P53,Inspiration Only,Full bin wrap,Marketplace listing for a flat 2D 'garden shed' full-panel bin wrap design,"Marketplace listing screenshot ('100% OFF', '£2.70', 'Was: £3.17'), showing a flat vector illustration of a rustic wooden shed wall with two garden tools hanging and three potted plants on a shelf, applied as a full wrap across a dark grey bin's entire front panel. Banner reads '2D Flat Patterns, Not 3D Effects'.","Not stated — but visually covers most of the bin's front face, well beyond a corner sticker",No,Needs Cricut,NA,N/A — inspiration only,N/A — inspiration only,N/A,"N/A — inspiration only, not evaluated for sale","**Can we create it?** Not with the current setup. The artwork style itself is fine — it's flat 2D vector illustration, genuinely no different in principle from anything else on this board — but the SIZE is the real blocker: this covers most of a bin's front face, likely 300-400mm+, which is a full-panel wrap, not a small sticker. Producing something this size would need either a large-format printer (well beyond any equipment tier currently planned) or tiling multiple A4 sheets edge-to-edge, which is a fundamentally different product line (bin wraps) from the personalised number/name stickers this business is built around. Good brainstorming reference for a possible future product category, not adaptable to your current spec."
P54,Inspiration Only,Full bin wrap,Professional Aboriginal dot-painting style full bin wrap ('Bindigenous'),"A wheelie bin with a yellow lid, professionally wrapped across its entire front panel in an Aboriginal Australian dot-painting style — concentric circles of yellow/orange/white dots on the top half, teal/blue/green dots on the bottom half, with a small brand mark reading 'BINDIGENOUS' in the bottom corner.",Not stated — full front-panel coverage,No,Needs Cricut,NA,N/A — inspiration only,N/A — inspiration only,N/A,"N/A — inspiration only, not evaluated for sale","**Can we create it?** No, for two separate reasons. Same size/format issue as P53 — this is a full-panel wrap, not a small sticker, and beyond current equipment regardless of style. More importantly: this is a specific, professionally produced piece from what appears to be an Aboriginal-owned or Aboriginal-art-licensing business ('Bindigenous'). Aboriginal dot painting is a culturally significant art form, and reproducing this specific style without genuine cultural connection or a proper licence would be both an IP concern (this may well be a trademarked/licensed pattern from that actual business) and an appropriation concern, separate from any technical question. Good to admire, not to copy — same category of 'no' as P55, just for a different reason."
P55,Inspiration Only,Full bin wrap / licensed IP,Trash can painted/wrapped as R2-D2 (Star Wars),"A large cylindrical bin, painted and/or wrapped to resemble R2-D2 from Star Wars — silver dome top with blue detailing, red and black lens/button details, white cylindrical body with blue panel graphics, photographed on a porch.",Not stated — full-canister coverage on a large cylindrical bin,No,Needs Cricut,NA,N/A — inspiration only,N/A — inspiration only,N/A,"N/A — inspiration only, not evaluated for sale","**Can we create it? No — this is a clear-cut copyright case, and a good one to keep as a reference for what NOT to attempt.** R2-D2 is a Disney/Lucasfilm-owned trademarked character. Your own Business Plan already explicitly rules this out under 'Original Character Design Sets': licensed characters aren't usable, and a reskinned/'inspired by' close visual copy is still infringement, not a workaround. Separately, this is also a full-canister treatment, not a small sticker — a second, independent reason it doesn't fit your production model even setting the IP issue aside."
P56,Inspiration Only,"Novelty character, no personalisation",Three indoor bins decorated with big cartoon monster/character faces,"Three indoor household bins (black, brown, navy) on a tiled floor, each decorated with large flat black-and-white cut-out eyes and a mouth to form a playful cartoon 'monster face' — one mischievous, one shocked, one smiling. No text, numbers, or street names.",Not stated — large eyes/mouth shapes sized to the bin front,No,Doable now,"WC, CV",N/A — inspiration only,N/A — inspiration only,N/A,"N/A — inspiration only, not evaluated for sale","**Can we create it?** Technically yes — these are simple, large, flat shapes (eyes, mouth), well within your print+guillotine capability, no fine detail issue at all. Two real mismatches with your business, though: (1) no personalisation whatsoever, which is the core of your product and pricing model — this is decorative only; (2) these look like indoor household bins (kitchen/office), not outdoor council wheelie bins, a different customer context and likely a different bin shape/size than your target market. Could work as a small novelty add-on accent (a tiny character face icon alongside a personalised number, similar to your existing icon-based designs) but not as a standalone product without adding personalisation."
P57,Inspiration Only,"Novelty character, no personalisation","Googly-eye + tongue bin face, video ad ('4 pack trash can stickers')","Video-ad screenshot ('4 pack trash can stickers', 'Shop now'), black bin in a snowy driveway with two round googly-eye style stickers above a small red tongue/mouth accent near the handle. A container ID plate ('95G 002100') is visible below — not part of the sticker.",Not stated,No,Doable now,"WC, CV",N/A — inspiration only,N/A — inspiration only,N/A,"N/A — inspiration only, not evaluated for sale","**Can we create it?** Same verdict as P56 — production-wise simple (two circles + a small accent shape), but no personalisation and likely aimed at indoor/US-style large bins rather than your target market. Worth noting as the same 'bin face' theme as P56 and P58 in this batch, executed even more minimally — three sightings of this concept now across the Inspiration set, suggesting the 'fun face' angle is a genuine recurring idea even though it doesn't fit your current personalised-address model."
P58,Inspiration Only,"Novelty character, no personalisation","Full-colour cartoon bin faces, 4 expressions across 4 bins","Four bins (blue-lid black, green, black, green) outdoors against greenery, each with a different full-colour cartoon face: angry (furrowed brows, red frown), happy (tongue out), crying (blue tears, red frown), and goofy (tongue out, gap-tooth grin).",Not stated,No,Doable now,"WC, CV",N/A — inspiration only,N/A — inspiration only,N/A,"N/A — inspiration only, not evaluated for sale","**Can we create it?** Yes, more readily than P56/P57 — this is full colour, which fits your printed-card production method perfectly (no fine-detail cutting concern at all, per the print-vs-cut principle). Same core mismatch as P56 though: no personalisation. Of the three 'bin face' pins in this set (P56, P57, this one), this is the most polished execution and the best reference if you ever explore a 'personality' sub-line — e.g. pairing an expression with a number, similar in spirit to your existing icon-based designs."
